Date,Day,PlateDay,Plate,Incubation,Volume,Treatment,Age,DOB,Sex,ID,ExpID,Distributor,Viability,Basal,ATP,Max,Spare,Leak,NonMito
7/5/2022,3,1,9,3,40,Control,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,24.62,22.23,59.26083333,34.64083333,2.39,12.08666667
7/5/2022,3,1,9,3,40,CpG,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,29.095,25.23166667,82.51916667,53.42416667,3.863333333,12.80333333
7/5/2022,3,1,9,3,40,LPS,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,23.92666667,20.7,57.33583333,33.40916667,3.226666667,10.87166667
7/5/2022,3,2,10,3,40,Control,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,18.335,16.40833333,41.56166667,23.22666667,1.926666667,9.373333333
7/5/2022,3,2,10,3,40,CpG,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,16.34166667,13.64666667,27.7175,11.37583333,2.695,7.32
7/5/2022,3,2,10,3,40,LPS,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,18.17666667,15.05,36.68083333,18.50416667,3.126666667,7.956666667
7/5/2022,3,4,12,3,40,Control,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,13.125,11.73333333,27.29916667,14.17416667,1.391666667,6.583333333
7/5/2022,3,4,12,3,40,CpG,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,14.56166667,12.795,32.39,17.82833333,1.766666667,7.545
7/5/2022,3,4,12,3,40,LPS,Aged,11/10/20,Male,M03500-32622,M4,Jackson,0.94,11.26333333,9.555833333,17.16416667,5.900833333,1.7075,5.073333333
7/6/2022,4,1,13,3,40,CDN,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,30.69333333,26.10166667,48.3575,17.66416667,4.591666667,10.405
7/6/2022,4,1,13,3,40,Control,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,37.45,30.59833333,67.29166667,29.84166667,6.851666667,10.60833333
7/6/2022,4,1,13,3,40,R848,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,29.97833333,25.345,56.15083333,26.1725,4.633333333,10.82666667
7/6/2022,4,3,15,3,40,CDN,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,29.79333333,23.21333333,34.37333333,4.58,6.58,8.426666667
7/6/2022,4,3,15,3,40,Control,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,29.64833333,24.93,52.39416667,22.74583333,4.718333333,10.62333333
7/6/2022,4,3,15,3,40,R848,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,27.89666667,22.165,27.6875,0.95,5.731666667,6.13
7/6/2022,4,4,16,3,40,CDN,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,17.90833333,13.82833333,29.37416667,11.46583333,4.08,5.293333333
7/6/2022,4,4,16,3,40,Control,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,23.66666667,18.59,30.37666667,8.756666667,5.076666667,4.681666667
7/6/2022,4,4,16,3,40,R848,Aged,11/10/20,Male,M03500-32621,M5,Jackson,0.92,21.97833333,18.82916667,14.45,0,3.149166667,4.18
7/15/2022,5,1,18,3,40,Control,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,27.28666667,23.78,71.32916667,44.0425,3.506666667,13.17833333
7/15/2022,5,1,18,3,40,CpG,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,25.10666667,21.90166667,72.81083333,47.70416667,3.205,12.65666667
7/15/2022,5,1,18,3,40,LPS,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,31.22666667,26.985,79.985,48.75833333,4.241666667,13.94
7/15/2022,5,2,19,3,40,Control,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,21.07666667,17.82166667,49.84916667,28.7725,3.255,8.748333333
7/15/2022,5,2,19,3,40,CpG,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,23.235,19.75833333,61.36666667,38.13166667,3.476666667,10.76333333
7/15/2022,5,2,19,3,40,LPS,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,15.555,13.21,31.3775,15.8225,2.345,7.44
7/15/2022,5,4,21,3,40,Control,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,22.52833333,19.63166667,62.45583333,39.9275,2.896666667,10.81166667
7/15/2022,5,4,21,3,40,CpG,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,23.18833333,20.46166667,61.9825,38.79416667,2.726666667,12.1
7/15/2022,5,4,21,3,40,LPS,Aged,12/29/20,Male,M03567-33501,M6,Jackson,0.93,19.055,15.74,40.07,21.015,3.315,8.7
7/18/2022,6,1,22,3,40,CDN.NP.Mi,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,17.19166667,16.61666667,59.82833333,42.63666667,0.575,10.77166667
7/18/2022,6,1,22,3,40,Control,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,21.42666667,20.40333333,68.09166667,46.665,1.023333333,11.83333333
7/18/2022,6,2,23,3,40,Control,Aged,11/24/20,Male,M03561-33503,M7,Jackson,0.92,20.60666667,17.14333333,80.48666667,59.88,3.463333333,11.67333333
7/18/2022,6,2,23,3,40,R848.NP.Mi,Aged,11/24/20,Male,M03561-33503,M7,Jackson,0.92,22.92833333,18.91166667,87.83583333,64.9075,4.016666667,11.07666667
7/18/2022,6,2,23,3,40,Control,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,16.96666667,14.18,54.88333333,37.91666667,2.786666667,9.146666667
7/18/2022,6,2,23,3,40,R848.NP.Mi,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,15.40166667,13.125,53.81916667,38.4175,2.276666667,7.758333333
7/18/2022,6,3,24,3,40,Control,Aged,11/24/20,Male,M03561-33503,M7,Jackson,0.92,14.18666667,16.35833333,88.32833333,74.14166667,0,20.00666667
7/18/2022,6,3,24,3,40,LPS,Aged,11/24/20,Male,M03561-33503,M7,Jackson,0.92,15.45333333,17.0375,84.78166667,69.32833333,0,19.15833333
7/18/2022,6,3,24,3,40,Control,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,11.79,12.65,53.215,41.425,0,13.59
7/18/2022,6,3,24,3,40,LPS,Young,4/5/22,Male,M03560-33499,M8,Jackson,0.94,9.678333333,10.65666667,60.24833333,50.57,0,13.05166667
7/19/2022,7,1,25,3,40,Control,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,25.38,20.37,74.47333333,49.09333333,5.01,12.83666667
7/19/2022,7,1,25,3,40,CpG.NP.Mi,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,27.58333333,21.84,83.33666667,55.75333333,5.743333333,11.92333333
7/19/2022,7,1,25,3,40,Control,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,20.20333333,16.67333333,46.345,26.14166667,3.53,9.22
7/19/2022,7,1,25,3,40,CpG.NP.Mi,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,18.55666667,13.90333333,50.43583333,31.87916667,4.653333333,7.891666667
7/19/2022,7,2,26,3,40,CDN.NP.Mi,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,16.73,12.64083333,57.42666667,40.69666667,4.089166667,11.25833333
7/19/2022,7,2,26,3,40,Control,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,14.16666667,11.52,52.62666667,38.46,2.646666667,10.92333333
7/19/2022,7,2,26,3,40,CDN.NP.Mi,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,13.08666667,9.491666667,44.44,31.35333333,3.595,7.785
7/19/2022,7,2,26,3,40,Control,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,16.35,13.235,42.64,26.29,3.115,9.44
7/19/2022,7,3,27,3,40,Control,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,13.07,9.886666667,47.07833333,34.00833333,3.183333333,8.976666667
7/19/2022,7,3,27,3,40,R848.NP.Mi,Aged,11/24/20,Male,M03561-33503,M9,Jackson,0.91,12.22333333,9.658333333,40.1975,27.97416667,2.565,6.06
7/19/2022,7,3,27,3,40,Control,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,11.87666667,9.051666667,34.22,22.34333333,2.825,6.7
7/19/2022,7,3,27,3,40,R848.NP.Mi,Young,4/5/22,Male,M03560-33499,M10,Jackson,0.92,8.933333333,6.4175,31.73333333,22.8,2.515833333,4.876666667
7/22/2022,8,1,28,3,40,Control,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,30.82333333,27.43,59.46666667,28.64333333,3.393333333,14.30333333
7/22/2022,8,1,28,3,40,R848.NP.Mi,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,25.875,23.005,68.87666667,43.00166667,2.87,14.15333333
7/22/2022,8,1,28,3,40,Control,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,29.94,25.77,37.30666667,7.366666667,4.17,11.94333333
7/22/2022,8,1,28,3,40,R848.NP.Mi,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,30.58333333,25.51,64.33916667,33.75583333,5.073333333,12.76833333
7/22/2022,8,2,29,3,40,CDN.NP.Mi,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,18.12666667,16.5,45.3875,27.26083333,1.626666667,11.515
7/22/2022,8,2,29,3,40,Control,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,22.81,20.39,39.72166667,16.91166667,2.42,11.11333333
7/22/2022,8,2,29,3,40,CDN.NP.Mi,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,18.93166667,15.71833333,36.87083333,17.93916667,3.213333333,9.161666667
7/22/2022,8,2,29,3,40,Control,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,23.89,20.31333333,28.69333333,4.803333333,3.576666667,9.936666667
7/22/2022,8,3,30,3,40,Control,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,17.48666667,15.36,31.305,13.81833333,2.126666667,8.55
7/22/2022,8,3,30,3,40,CpG.NP.Mi,Aged,12/1/20,Male,M03566-33506,M11,Jackson,0.93,17.4,15.53,40.19666667,22.79666667,1.87,9.173333333
7/22/2022,8,3,30,3,40,Control,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,21.35333333,17.72666667,28.095,6.741666667,3.626666667,8
7/22/2022,8,3,30,3,40,CpG.NP.Mi,Young,4/5/22,Male,M03560-33492,M12,Jackson,0.95,15.05666667,12.46333333,28.02083333,12.96416667,2.593333333,6.726666667
7/25/2022,9,1,32,3,40,CDN.NP.Mi,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,36.115,23.87916667,107.8033333,71.68833333,12.23583333,17.52166667
7/25/2022,9,1,32,3,40,Control,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,34.21666667,26.53833333,84.30833333,50.09166667,7.678333333,14.59666667
7/25/2022,9,1,32,3,40,CDN.NP.Mi,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,23.97666667,16.68833333,53.23583333,29.25916667,7.288333333,10.78666667
7/25/2022,9,1,32,3,40,Control,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,28.8,16.97666667,62.16333333,33.36333333,11.82333333,12.23666667
7/25/2022,9,2,33,3,40,Control,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,30.29666667,16.25333333,80.82833333,50.53166667,14.04333333,14.57666667
7/25/2022,9,2,33,3,40,R848.NP.Mi,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,29.31833333,15.39083333,87.6275,58.30916667,13.9275,13.18
7/25/2022,9,2,33,3,40,Control,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,28.72333333,15.83833333,54.905,26.18166667,12.885,11.45
7/25/2022,9,2,33,3,40,R848.NP.Mi,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,24.72833333,11.70666667,70.13166667,45.40333333,13.02166667,11.45833333
7/25/2022,9,3,34,3,40,Control,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,29.14,23.68,45.82833333,16.68833333,5.46,11.87666667
7/25/2022,9,3,34,3,40,CpG.NP.Mi,Aged,12/29/20,Male,M03567-33501,M13,Jackson,0.96,30.89166667,22.49666667,63.995,33.10333333,8.395,12.315
7/25/2022,9,3,34,3,40,Control,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,34.51,23.83333333,62.74333333,28.23333333,10.67666667,12.50666667
7/25/2022,9,3,34,3,40,CpG.NP.Mi,Young,4/5/22,Male,M03560-33492,M14,Jackson,0.98,28.13,20.96,52.54333333,24.41333333,7.17,10.67166667
7/29/2022,10,1,35,3,40,CDN,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,34.51333333,29.15083333,86.15,51.63666667,5.3625,16.82
7/29/2022,10,1,35,3,40,Control,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,31.22,27.455,88.175,56.955,3.765,17.91
7/29/2022,10,1,35,3,40,CDN,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,22.78666667,17.42,38.90833333,16.12166667,5.366666667,9.701666667
7/29/2022,10,1,35,3,40,Control,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,23.89333333,19.01666667,40.97666667,17.08333333,4.876666667,10.83333333
7/29/2022,10,2,36,3,40,CDN.NP.Mi,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,28.46666667,19.23416667,72.5825,44.11583333,9.2325,14.325
7/29/2022,10,2,36,3,40,Control,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,26.33333333,21.06166667,64.47666667,38.14333333,5.271666667,13.45333333
7/29/2022,10,2,36,3,40,CDN.NP.Mi,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,19.72666667,12.93333333,51.15583333,31.42916667,6.793333333,8.751666667
7/29/2022,10,2,36,3,40,Control,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,24.86333333,16.66166667,48.28166667,23.41833333,8.201666667,11.02333333
7/29/2022,10,3,37,3,40,Control,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,21.94666667,18.91666667,35.17333333,13.22666667,3.03,8.886666667
7/29/2022,10,3,37,3,40,R848,Aged,12/1/20,Male,M03566-33506,M15,Jackson,0.95,24.595,21.40333333,46.495,21.9,3.191666667,10.205
7/29/2022,10,3,37,3,40,Control,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,20.19333333,16.56333333,30.12,9.926666667,3.63,7.93
7/29/2022,10,3,37,3,40,R848,Young,4/5/22,Male,M03560-33498,M16,Jackson,0.96,16.59666667,13.71833333,17.49583333,0.899166667,2.878333333,6.541666667
7/29/2022,10,1,38,3,40,Control,Aged,11/24/20,Male,M03561-33503,M17,Jackson,0.95,30.50333333,24.99,64.275,33.77166667,5.513333333,11.63
7/29/2022,10,1,38,3,40,CpG.NP.Mi,Aged,11/24/20,Male,M03561-33503,M17,Jackson,0.95,33.68,25.55166667,68.56416667,34.88416667,8.128333333,12.84833333
7/29/2022,10,1,38,3,40,Control,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,34.50333333,26.44333333,70.535,36.03166667,8.06,12.5
7/29/2022,10,1,38,3,40,CpG.NP.Mi,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,33.35666667,24.3125,76.58,43.22333333,9.044166667,12.325
7/29/2022,10,2,39,3,40,CDN,Aged,11/24/20,Male,M03561-33503,M17,Jackson,0.95,25.20333333,20.62666667,35.86333333,10.66,4.576666667,8.991666667
7/29/2022,10,2,39,3,40,Control,Aged,11/24/20,Male,M03561-33503,M17,Jackson,0.95,24.52666667,20.20333333,38.84666667,14.32,4.323333333,9.373333333
7/29/2022,10,2,39,3,40,CDN,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,27.83666667,21.77333333,36.2225,8.385833333,6.063333333,8.835
7/29/2022,10,2,39,3,40,Control,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,27.59,21.61333333,40.07666667,12.48666667,5.976666667,9.203333333
7/29/2022,10,3,40,3,40,Control,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,19.27,15.365,24.49916667,5.229166667,3.905,7.878333333
7/29/2022,10,3,40,3,40,CpG,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,20.535,16.535,29.22,8.685,4,8.5
7/29/2022,10,3,40,3,40,LPS,Young,4/5/22,Male,M03560-33492,M18,Jackson,0.95,17.32833333,13.405,23.40666667,6.078333333,3.923333333,5.488333333
8/2/2022,11,1,41,3,40,CDN,Young,4/5/22,Male,M03560-33493,M19,Jackson,0.97,36.78666667,33.46833333,62.6625,25.87583333,3.596666667,14.05
