Cage,ID,Clip,Treatment,DOB,AgeMonths,Age,Sex,%wt loss through D6,viral load log2(Y+1) genomi ccopies/mL,Abs Titre background 0.13,Abs Titre Background 0.07,% change in Penh Day 6,ViralLoadmL,log(Y+1),TCID50,Histopath total score ,PenHDay0,PenHDay1,PenHDay2,PenHDay3,PenHDay4,PenHDay5,PenHDay6,MassDay0,MassDay1,MassDay2,MassDay3,MassDay4,MassDay5,MassDay6,Bronchial/bronchiolar inflammation score ,Eptihelial Change score,Interstitial inflammation score ,Hemorrhage score,Edema score ,Notes during infection
2,3,L,CDN nanovax,12/22/20,28,Aged,Male,4.259634888,0.00E+00,6.10E+04,1.53E+05,-1.538487138,0,0,0.00E+00,2,0.934822298,0.885878149,0.8667789,0.921351231,1.058417488,0.959480957,0.920440177,49.3,47.6,47.5,48.2,47.6,46.9,47.2,0,0,2,0,0,
5,8,L,CDN nanovax,2/2/21,26,Aged,Male,8.982035928,7.09E+00,1.53E+05,3.81E+05,586.6771035,12326175,7.090828365,5.42E+04,16,0.619620969,0.797511578,0.976229713,2.3369169,1.952412883,2.742002269,4.254795324,33.4,32.8,32.81,32.66,31.3,31.3,30.4,5,5,3,1,2,
8,14,L,CDN nanovax,3/2/21,25,Aged,Male,0,4.81E+00,1.53E+05,3.81E+05,14.58010904,64850,4.811916677,4.25E+02,4,0.626842162,0.660286113,0.698031265,0.587750916,0.798212132,0.752097203,0.718236433,44.3,43.5,43.93,43.6,43.9,44,44.3,1,1,1,0,1,
16,29,N,CDN nanovax,3/9/21,25,Aged,Female,16.40625,8.67E+00,6.25E+02,3.91E+03,633.0630394,463482749,8.666033575,1.55E+06,20,0.752322327,0.599938968,0.893202637,2.25663287,1.577528588,6.459452356,5.514996917,38.4,39.53,39.7,37.06,35.6,34.03,32.1,5,5,4,3,3,
18,36,L,CDN nanovax,4/6/21,24,Aged,Female,5.46728972,7.51E+00,2.44E+04,6.10E+04,103.3369629,32226250,7.508209785,1.32E+05,15,0.44436797,0.471617589,0.404431828,0.498724904,0.725242338,0.546844484,0.903564335,21.4,19.66,19.79,20.64,19.8,20.28,20.23,4,4,4,0,3,may not have gotten the full dose/ blood coming out of his nose
20,52,L,CDN nanovax,6/10/21,22,Aged,Female,20.9602649,7.72E+00,3.81E+05,2.38E+06,864.8705747,52415339,7.719458407,2.06E+05,16,0.496223088,0.540047303,3.067426863,8.587582971,5.971099943,4.606452795,4.78791056,30.2,31.13,29.83,27.75,25.9,24.46,23.87,4,4,3,2,3,
21,57,R,CDN nanovax,6/10/21,22,Aged,Female,4.074074074,6.66E+00,1.07E+05,3.81E+05,160.6605407,453202,5.656292776,2.56E+03,9,0.601682626,0.567073912,0.484410328,0.658908442,2.041941301,1.361605473,1.568349185,27,27.3,27.5,27.48,26.3,26.3,25.9,2,1,5,0,1,
24,65,R,CDN nanovax,8/10/21,20,Aged,Female,-0.655737705,6.48E+00,3.91E+03,1.53E+05,133.7815663,3001662,6.477361932,1.47E+04,13,0.472930203,0.60654537,0.469316938,0.616156528,0.510136314,0.60255761,1.105623636,30.5,31.3,30.9,30.91,31.1,30.74,30.7,3,3,3,1,3,
10,67,L,CDN nanovax,8/10/21,20,Aged,Male,11.58536585,6.28E+00,6.10E+04,3.81E+05,530.9786399,1918769,6.28302292,9.72E+03,12,0.476186327,0.401567959,0.604911667,2.624179788,2.271642703,3.367098001,3.004634011,32.8,32.63,32.8,32.14,31.03,29.61,29,4,4,1,1,2,
25,21,R,CDN nanovax,6/28/22,9,Young,Male,9.183673469,6.57E+00,6.10E+04,1.53E+05,180.6100117,3673118,6.565034999,1.77E+04,6,0.590605674,0.513496801,0.592051708,0.907698254,1.826153096,,1.657298651,39.2,38.6,39.3,38.2,36.2,36.5,35.6,2,2,1,0,1,
28,42,L,CDN nanovax,6/28/22,9,Young,Female,18.81918819,6.29E+00,1.53E+05,3.81E+05,669.7443294,1945893,6.289119179,9.85E+03,15,0.415648302,0.3594533,0.445026444,3.768813608,2.676490318,4.571560901,3.199429238,27.1,26.9,26.6,25.28,23.9,22.7,22,4,4,3,1,3,
30,47,N,CDN nanovax,6/28/22,9,Young,Female,-0.722021661,0.00E+00,1.53E+05,3.81E+05,-13.68082632,0,0,0.00E+00,1,0.5053557,0.449257413,0.511202314,0.409229674,0.438132234,0.42264825,0.436218864,27.7,27.82,28.1,28.42,27.8,28.2,27.9,0,0,1,0,0,may not have gotten the full dose
4,6,N,Saline,12/22/20,28,Aged,Male,3.1281198,6.47E+00,1.00E+00,1.00E+00,-24.72042944,2974683,6.473440838,1.46E+04,1,0.982178377,0.786799402,0.742121864,0.699291422,0.743249821,0.879173442,0.739379664,60.1,60.9,59.4,59.02,58.6,59.5,58.22,0,0,1,0,0,
9,17,Bald face,Saline,3/2/21,25,Aged,Male,3.501694368,2.67E+00,1.00E+00,1.00E+00,-24.3729815,470,2.673020907,4.00E+00,1,1.03939762,0.877006116,0.761840786,0.838249764,0.683831037,0.723119476,0.78606543,61.97,61.86,60.6,60.19,60.4,60.09,59.8,0,0,1,0,0,woke up fast
9,18,N,Saline,3/2/21,25,Aged,Male,18.0698152,8.74E+00,1.00E+00,1.00E+00,841.1386879,548705788,8.739339542,1.81E+06,10,0.816887619,0.842531274,2.205371199,7.258041767,5.059284511,7.702577728,7.68804542,48.7,47.98,47.2,44.6,42.5,41.72,39.9,3,3,3,0,1,
15,27,N,Saline,3/9/21,25,Aged,Female,19.34731935,9.12E+00,1.00E+00,1.00E+00,756.1397171,1324662171,9.122105134,4.08E+06,16,0.615535347,0.580032434,0.836551847,1.962916017,2.079473454,4.57213423,5.269842579,42.9,41.55,40.9,39.05,37.2,36.23,34.6,5,5,3,1,2,
17,32,L,Saline,3/9/21,25,Aged,Female,5.163043478,6.74E+00,1.00E+00,1.00E+00,-5.428810481,5472370,6.738175533,2.56E+04,2,0.80722336,0.557815846,0.595114294,0.589442228,0.716192126,0.993386398,0.763400734,36.8,36.68,36.2,35.93,35.6,35.4,34.9,0,0,2,0,0,may not have gotten the full dose
21,55,N,Saline,6/10/21,22,Aged,Female,24.19928826,8.86E+00,1.00E+00,1.00E+00,947.4008329,728749240,8.862578115,2.35E+06,18,0.422079078,0.55225879,8.296055781,8.475990732,5.76790125,5.254099683,4.420859779,28.1,28.18,27.53,25.22,23.5,22.39,21.3,4,4,3,3,4,
24,63,N,Saline,8/10/21,20,Aged,Female,24.75570033,9.10E+00,1.00E+00,1.00E+00,1744.048837,1247135067,9.095913491,3.86E+06,10,0.471631568,0.365947738,3.430164203,14.12458265,6.941989338,8.323231588,8.69711644,30.7,30.3,28.8,27.3,25.7,24.15,23.1,3,3,2,1,1,
25,19,N,Saline,6/28/22,9,Young,Male,20.12448133,8.58E+00,1.00E+00,1.00E+00,998.6519246,378116205,8.577625292,1.28E+06,14,0.65299828,0.642789403,6.950529968,6.28465466,7.1210834,,7.174178171,48.2,46.89,48,44.5,41.6,40.5,38.5,4,4,3,1,2,
26,24,R,Saline,6/28/22,9,Young,Male,6.220095694,7.71E+00,1.00E+00,1.00E+00,682.9326959,51166032,7.708981747,2.02E+05,10,0.58123334,0.570714168,0.522737631,0.513462319,0.648030817,2.417796406,4.550665855,41.8,42.32,42.2,41.91,40.9,41.21,39.2,3,2,3,1,1,
29,45,N,Saline,6/28/22,9,Young,Female,dead,8.62E+00,1.00E+00,1.00E+00,2464.763234,412677539,8.615610833,1.39E+06,19,0.44511994,0.462950219,1.397054528,11.41627257,8.526618106,7.824717496,,30.2,29.8,28.8,27.37,25.7,24.58,found dead,5,5,3,2,4,
2,2,N,CpG nanovax,12/22/20,28,Aged,Male,4.433497537,0.00E+00,6.10E+04,1.53E+05,20.0719085,0,0,0.00E+00,1,0.751932645,0.710288432,0.521729042,0.701020462,0.810737519,0.957852048,0.902859878,40.6,39.33,38.6,39.6,38.8,38.5,38.8,1,0,0,0,0,
5,7,N,CpG nanovax,2/2/21,26,Aged,Male,0,5.01E+00,6.10E+04,1.53E+05,49.82098006,102912,5.012470238,6.52E+02,14,0.532499197,0.425299195,0.52121249,0.849290035,0.834263129,1.110710508,0.797795516,32.2,31.64,33.2,33.02,31.8,31.65,32.2,4,3,4,1,2,
7,12,L,CpG nanovax,3/2/21,25,Aged,Male,11.94253859,7.72E+00,6.10E+04,1.53E+05,364.594132,52886990,7.723348859,2.08E+05,1,0.904264481,0.748218726,0.832112272,0.921837869,1.060678284,0.929356321,4.201159716,46.64,43.69,42,43.24,43.08,42.51,41.07,0,0,1,0,0,
15,28,L,CpG nanovax,3/9/21,25,Aged,Female,9.019607843,0.00E+00,9.77E+03,2.44E+04,80.58381917,0,0,0.00E+00,2,0.654820374,0.55633335,0.526537948,0.572957412,0.687919961,0.747791493,1.18249964,25.5,24.26,24.3,24.6,24.2,23.59,23.2,0,0,2,0,0,
20,51,N,CpG nanovax,6/10/21,22,Aged,Female,24.08026756,8.98E+00,1.00E+00,1.00E+00,1325.078167,950750173,8.978066414,3.00E+06,15,0.403140155,0.457954592,1.721417465,6.44559213,5.221828012,8.331307527,5.745062339,29.9,29.49,27.8,26.3,24.7,23.44,22.7,4,3,3,2,3,
21,56,L,CpG nanovax,6/10/21,22,Aged,Female,25.99206349,9.26E+00,1.00E+02,3.91E+03,1059.423578,180723684,8.257015073,6.48E+05,14,0.475214164,0.58331664,16.2485199,7.050802972,4.085029964,4.033794297,5.509745061,25.2,25.4,24.84,22.52,20.9,19.68,18.65,3,2,5,1,3,
10,66,N,CpG nanovax,8/10/21,20,Aged,Male,0.588235294,6.82E+00,2.44E+04,9.54E+05,2.522240977,6619491,6.820824662,3.05E+04,7,0.608343097,0.465622657,0.564010657,0.55176031,0.554394065,0.505374018,0.623686976,34,33.95,34.64,34.83,33.8,34.2,33.8,2,2,2,0,1,
25,20,L,CpG nanovax,6/28/22,9,Young,Male,-0.252525253,4.43E+00,1.53E+05,9.54E+05,32.0418498,26995,4.431299419,1.89E+02,1,0.579507186,0.745663217,0.631809689,0.531688412,0.714466423,,0.765192008,39.6,38.67,39.3,38.5,39,39.66,39.7,0,0,1,0,0,
26,25,LR,CpG nanovax,6/28/22,9,Young,Male,-1.18694362,0.00E+00,3.81E+05,2.38E+06,-5.959102416,0,0,0.00E+00,0,0.661436725,0.734724481,0.652166865,0.686117715,0.536754462,1.009931585,0.622021033,33.7,34.03,33.9,33.89,34.1,33.9,34.1,0,0,0,0,0,
28,41,N,CpG nanovax,6/28/22,9,Young,Female,1.608579088,0.00E+00,9.54E+05,2.38E+06,17.09507479,0,0,0.00E+00,0,0.444361902,0.383615622,0.420028423,0.492653725,0.491158917,0.605081454,0.520325901,37.3,37.19,36.8,36.89,36.3,36.3,36.7,0,0,0,0,0,
29,46,L,CpG nanovax,6/28/22,9,Young,Female,11.18644068,1.80E+00,1.53E+05,2.38E+06,0.805356314,0,0,1.00E+00,1,0.517334752,0.430747685,0.485308315,0.567852344,0.46698964,0.60564834,0.52150114,29.5,29.6,29.3,28.76,27.5,27.6,26.2,0,0,1,0,0,
30,50,LR,CpG nanovax,6/28/22,9,Young,Female,2.848101266,3.88E+00,6.10E+04,9.54E+05,13.06102278,7523,3.876448787,5.80E+01,7,0.493347902,,0.392816832,0.396571274,0.630054814,0.71980204,0.557784184,31.6,31.27,31.4,31.45,30.4,31.34,30.7,2,2,2,0,1,
3,5,L,MPLA nanovax,12/22/20,28,Aged,Male,-10.07751938,3.16E+00,1.53E+05,3.81E+05,-11.95326665,1429,3.155336037,1.30E+01,2,0.339974101,0.277167854,0.273578042,0.496311878,0.334116082,0.52211546,0.299336091,25.8,26.11,26.5,27.1,28.8,27.5,28.4,0,0,2,0,0,may not have gotten the full dose
8,16,LR,MPLA nanovax,3/2/21,25,Aged,Male,-0.849858357,3.25E+00,1.53E+05,3.81E+05,87.26221234,1768,3.247727833,1.50E+01,1,0.596796366,0.580291071,0.650914804,0.648732135,0.836099842,0.84572999,1.117574079,35.3,34.3,35.6,35.2,35.6,36.09,35.6,0,0,1,0,0,may not have gotten the full dose
14,26,N,MPLA nanovax,3/9/21,25,Aged,Female,2.166064982,7.52E+00,2.44E+04,6.10E+04,32.11361179,33062047,7.519329752,1.35E+05,4,0.749536644,0.709392556,0.645210598,0.729243803,0.727445831,1.060625224,0.990239932,27.7,27.8,27.4,28.04,27,26.7,27.1,1,0,3,0,0,
17,31,N,MPLA nanovax,3/9/21,25,Aged,Female,9.830508475,7.15E+00,1.00E+00,1.00E+02,23.00932788,14148709,7.150716845,6.16E+04,10,0.546843423,0.623696014,0.486611354,0.469524932,0.593534574,0.666949165,0.67266842,29.5,28.5,28.4,27.88,27.6,27.44,26.6,3,2,5,0,0,
20,54,LR,MPLA nanovax,6/10/21,22,Aged,Female,3.658536585,4.57E+00,3.81E+05,2.38E+06,82.91576553,36840,4.56633141,2.52E+02,5,0.368758434,0.609536519,0.366809043,0.390323045,0.494336636,0.660833183,0.674517312,24.6,24.6,24.71,24.04,23.9,23.9,23.7,1,0,3,0,1,
23,62,L,MPLA nanovax,8/10/21,20,Aged,Female,16.61016949,5.45E+00,6.10E+04,1.53E+05,361.3570303,282339,5.45077241,1.66E+03,11,0.573308587,0.647231224,0.514860537,1.798550527,1.873626271,1.591460219,2.644999472,29.5,28.32,28.1,27.25,25.23,24.6,24.6,3,2,3,1,2,
11,69,L,MPLA nanovax,8/10/21,20,Aged,Male,7.96460177,0.00E+00,9.77E+03,1.53E+05,-15.74906914,0,0,0.00E+00,0,0.463349844,0.431743831,0.458046169,0.414415516,0.395388876,0.450552566,0.390376557,33.9,33.92,33.9,33.91,33.7,33.9,31.2,0,0,0,0,0,
11,70,R,MPLA nanovax,8/10/21,20,Aged,Male,15.30612245,0.00E+00,6.10E+04,3.81E+05,1303.574534,0,0,0.00E+00,18,0.556651383,0.545854904,0.618869448,1.089029887,2.652480586,3.054695391,7.81301705,39.2,38.3,39.2,37.9,36.5,35.23,33.2,4,4,4,3,3,
26,23,L,MPLA nanovax,6/28/22,9,Young,Male,0.566572238,6.38E+00,3.81E+05,9.54E+05,16.05855593,2386728,6.37780311,1.19E+04,4,0.564838291,0.578689025,0.582917372,0.521932835,0.575190388,0.590633716,0.655543164,35.3,35.2,35.4,35.43,35.3,35,35.1,1,0,1,1,1,may not have gotten the full dose
28,44,LR,MPLA nanovax,6/28/22,9,Young,Female,4.761904762,7.35E+00,2.67E+05,9.54E+05,238.219423,22172853,7.345821597,9.32E+04,1,0.396640117,0.381580646,0.386351783,0.31983367,0.42875458,0.552411983,1.341513913,31.5,31.86,31.5,31.91,31.2,31.93,30,0,0,1,0,0,
30,49,R,MPLA nanovax,6/28/22,9,Young,Female,0.362318841,0.00E+00,2.67E+05,9.54E+05,-42.42901462,0,0,0.00E+00,0,0.62692616,0.391897947,0.364825301,0.471345599,0.402519181,0.449163679,0.360927568,27.6,27.98,27.9,27.89,27.4,27.7,27.5,0,0,0,0,0,
3,4,N,R848 nanovax,12/22/20,28,Aged,Male,-2.760736196,0.00E+00,1.53E+05,3.81E+05,9.754147614,0,0,0.00E+00,0,0.664278044,0.722082464,0.526254781,0.592651045,0.566552206,1.166585599,0.729072705,32.6,33.2,32.9,33.19,33.3,32.72,33.5,0,0,0,0,0,
6,9,N,R848 nanovax,2/2/21,26,Aged,Male,12.57309942,7.34E+00,1.53E+05,3.81E+05,151.1820559,22001480,7.342451916,9.26E+04,9,0.517703478,0.45850958,0.477117115,0.592668796,1.205430973,1.760549314,1.300378239,34.2,33.73,33.64,32.9,31,31.21,29.9,2,2,2,1,2,
16,30,L,R848 nanovax,3/9/21,25,Aged,Female,4.819277108,0.00E+00,3.81E+05,2.38E+06,51.97808048,0,0,0.00E+00,2,0.416089922,0.422717101,0.383472138,0.43122807,0.433815079,0.405028312,0.632365477,33.2,33.94,34.4,34.07,33.8,33.6,31.6,0,0,2,0,0,
20,53,R,R848 nanovax,6/10/21,22,Aged,Female,3.214285714,0.00E+00,6.10E+04,3.81E+05,65.40261401,0,0,0.00E+00,3,0.418139771,0.391272294,0.370611173,0.392649504,0.373745589,0.627302472,0.691614112,28,28.38,28.2,28.03,27.9,27.26,27.1,0,0,3,0,0,may not have gotten the full dose
11,68,N,R848 nanovax,8/10/21,20,Aged,Male,8.064516129,0.00E+00,4.27E+04,3.81E+05,-14.46819764,0,0,0.00E+00,2,0.477528644,0.46415962,0.53091639,0.361002136,0.401151513,0.435266263,0.408438856,37.2,36.8,37,36.56,36.2,36.66,34.2,0,0,1,0,1,may not have gotten the full dose
26,22,N,R848 nanovax,6/28/22,9,Young,Male,5.633802817,6.14E+00,3.81E+05,2.38E+06,148.8480728,1368154,6.136135302,7.11E+03,14,0.546103446,0.456497941,0.47459478,0.526333191,0.624035267,1.186936765,1.358967901,35.5,36.11,35.2,35.64,35,34.51,33.5,4,3,3,2,2,
28,43,R,R848 nanovax,6/28/22,9,Young,Female,4.4,0.00E+00,3.81E+05,9.54E+05,-3.243856523,0,0,0.00E+00,1,0.403242755,0.352373861,0.400422243,0.402021533,0.479909469,0.438688841,0.390162138,25,24.03,23.2,24.15,23.6,24.28,23.9,0,0,1,0,0,
30,48,L,R848 nanovax,6/28/22,9,Young,Female,4.545454545,5.76E+00,4.27E+04,9.54E+05,280.8888809,573153,5.758271328,3.18E+03,14,0.433331099,0.391401069,0.441854315,0.826378123,1.139147339,1.679139876,1.650509973,26.4,27.94,27.8,26.8,25.5,25.07,25.2,4,4,4,1,1,